Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,Ticker,Daily_Return
2018-03-27T00:00:00Z,173.68,175.15,166.92,168.34,38962839,0,1,173.68,175.15,166.92,168.34,38962839,AAPL,null
2018-03-26T00:00:00Z,168.07,173.1,166.44,172.77,36272617,0,1,168.07,173.1,166.44,172.77,36272617,AAPL,0.026315789
2018-03-23T00:00:00Z,168.39,169.92,164.94,164.94,40248954,0,1,168.39,169.92,164.94,164.94,40248954,AAPL,-0.045320368
2018-03-22T00:00:00Z,170,172.68,168.6,168.845,41051076,0,1,170,172.68,168.6,168.845,41051076,AAPL,0.023675276
2018-03-21T00:00:00Z,175.04,175.09,171.26,171.27,35247358,0,1,175.04,175.09,171.26,171.27,35247358,AAPL,0.014362285
2018-03-20T00:00:00Z,175.24,176.8,174.94,175.24,19314039,0,1,175.24,176.8,174.94,175.24,19314039,AAPL,0.023179775
2018-03-19T00:00:00Z,177.32,177.47,173.66,175.3,32804695,0,1,177.32,177.47,173.66,175.3,32804695,AAPL,0.000342388
2018-03-16T00:00:00Z,178.65,179.12,177.62,178.02,36836456,0,1,178.65,179.12,177.62,178.02,36836456,AAPL,0.015516258
2018-03-15T00:00:00Z,178.5,180.24,178.0701,178.65,22584565,0,1,178.5,180.24,178.0701,178.65,22584565,AAPL,0.003538928
2018-03-14T00:00:00Z,180.32,180.52,177.81,178.44,29075469,0,1,180.32,180.52,177.81,178.44,29075469,AAPL,-0.001175483
2018-03-13T00:00:00Z,182.59,183.5,179.24,179.97,31168404,0,1,182.59,183.5,179.24,179.97,31168404,AAPL,0.008574311
2018-03-12T00:00:00Z,180.29,182.39,180.21,181.72,32055405,0,1,180.29,182.39,180.21,181.72,32055405,AAPL,0.009723843
2018-03-09T00:00:00Z,177.96,180,177.39,179.98,31385134,0,1,177.96,180,177.39,179.98,31385134,AAPL,-0.009575171
2018-03-08T00:00:00Z,175.48,177.12,175.07,176.94,23163767,0,1,175.48,177.12,175.07,176.94,23163767,AAPL,-0.016890766
2018-03-07T00:00:00Z,174.94,175.85,174.27,175.03,31703462,0,1,174.94,175.85,174.27,175.03,31703462,AAPL,-0.01079462
2018-03-06T00:00:00Z,177.91,178.25,176.13,176.67,23788506,0,1,177.91,178.25,176.13,176.67,23788506,AAPL,0.009369822
2018-03-05T00:00:00Z,175.21,177.74,174.52,176.82,28401366,0,1,175.21,177.74,174.52,176.82,28401366,AAPL,0.000849041
2018-03-02T00:00:00Z,172.8,176.3,172.45,176.21,38453950,0,1,172.8,176.3,172.45,176.21,38453950,AAPL,-0.003449836
2018-03-01T00:00:00Z,178.54,179.775,172.66,175,48801970,0,1,178.54,179.775,172.66,175,48801970,AAPL,-0.006866807
2018-02-28T00:00:00Z,179.26,180.615,178.05,178.12,33604574,0,1,179.26,180.615,178.05,178.12,33604574,AAPL,0.017828571
2018-02-27T00:00:00Z,179.1,180.48,178.16,178.39,38685165,0,1,179.1,180.48,178.16,178.39,38685165,AAPL,0.001515832
2018-02-26T00:00:00Z,176.35,179.39,176.21,178.97,36886432,0,1,176.35,179.39,176.21,178.97,36886432,AAPL,0.003251303
2018-02-23T00:00:00Z,173.67,175.65,173.54,175.555,33329232,0,1,173.67,175.65,173.54,175.555,33329232,AAPL,-0.01908141
2018-02-22T00:00:00Z,171.8,173.95,171.71,172.6,30504116,0,1,171.8,173.95,171.71,172.6,30504116,AAPL,-0.016832332
2018-02-21T00:00:00Z,172.83,174.12,171.01,171.07,35833514,0,1,172.83,174.12,171.01,171.07,35833514,AAPL,-0.008864426
2018-02-20T00:00:00Z,172.05,174.26,171.42,171.85,33531012,0,1,172.05,174.26,171.42,171.85,33531012,AAPL,0.004559537
2018-02-16T00:00:00Z,172.36,174.82,171.77,172.43,39638793,0,1,172.36,174.82,171.77,172.43,39638793,AAPL,0.003375036
2018-02-15T00:00:00Z,169.79,173.09,169,172.99,50609595,0,1,169.79,173.09,169,172.99,50609595,AAPL,0.003247695
2018-02-14T00:00:00Z,163.045,167.54,162.88,167.37,39669178,0,1,163.045,167.54,162.88,167.37,39669178,AAPL,-0.032487427
2018-02-13T00:00:00Z,161.95,164.75,161.65,164.34,32104756,0,1,161.95,164.75,161.65,164.34,32104756,AAPL,-0.018103603
2018-02-12T00:00:00Z,158.5,163.89,157.51,162.71,60560145,0,1,158.5,163.89,157.51,162.71,60560145,AAPL,-0.009918462
2018-02-09T00:00:00Z,157.07,157.89,150.24,155.97,66723743,0,1,157.07,157.89,150.24,155.97,66723743,AAPL,-0.041423391
2018-02-08T00:00:00Z,160.29,161,155.03,155.32,49594129,0,1,160.29,161,155.03,155.32,49594129,AAPL,-0.004167468
2018-02-07T00:00:00Z,163.085,163.4,159.0685,159.54,50852130,0,1,163.085,163.4,159.0685,159.54,50852130,AAPL,0.027169714
2018-02-06T00:00:00Z,154.83,163.72,154,163.03,66625484,0,1,154.83,163.72,154,163.03,66625484,AAPL,0.021875392
2018-02-05T00:00:00Z,159.1,163.88,156,157.49,66090446,0,1,159.1,163.88,156,157.49,66090446,AAPL,-0.033981476
2018-02-02T00:00:00Z,166,166.8,160.1,160.37,85436075,0,1,166,166.8,160.1,160.37,85436075,AAPL,0.018286875
2018-02-01T00:00:00Z,167.165,168.62,166.76,167.78,38099665,0,1,167.165,168.62,166.76,167.78,38099665,AAPL,0.046205649
2018-01-31T00:00:00Z,166.87,168.4417,166.5,167.43,30984099,0,1,166.87,168.4417,166.5,167.43,30984099,AAPL,-0.002086065
2018-01-30T00:00:00Z,165.525,167.37,164.7,166.97,45137026,0,1,165.525,167.37,164.7,166.97,45137026,AAPL,-0.002747417
2018-01-29T00:00:00Z,170.16,170.16,167.07,167.96,48434424,0,1,170.16,170.16,167.07,167.96,48434424,AAPL,0.005929209
2018-01-26T00:00:00Z,172,172,170.06,171.51,37121805,0,1,172,172,170.06,171.51,37121805,AAPL,0.021135985
2018-01-25T00:00:00Z,174.505,174.95,170.53,171.11,39661804,0,1,174.505,174.95,170.53,171.11,39661804,AAPL,-0.002332226
2018-01-24T00:00:00Z,177.25,177.3,173.2,174.22,50562257,0,1,177.25,177.3,173.2,174.22,50562257,AAPL,0.018175443
2018-01-23T00:00:00Z,177.3,179.44,176.82,177.04,31702531,0,1,177.3,179.44,176.82,177.04,31702531,AAPL,0.016186431
2018-01-22T00:00:00Z,177.3,177.78,176.6016,177,26023683,0,1,177.3,177.78,176.6016,177,26023683,AAPL,-0.000225938
2018-01-19T00:00:00Z,178.61,179.58,177.41,178.46,30827809,0,1,178.61,179.58,177.41,178.46,30827809,AAPL,0.008248588
2018-01-18T00:00:00Z,179.37,180.1,178.25,179.26,30234512,0,1,179.37,180.1,178.25,179.26,30234512,AAPL,0.004482797
2018-01-17T00:00:00Z,176.15,179.25,175.07,179.1,32752734,0,1,176.15,179.25,175.07,179.1,32752734,AAPL,-0.000892558
2018-01-16T00:00:00Z,177.9,179.39,176.14,176.19,29159005,0,1,177.9,179.39,176.14,176.19,29159005,AAPL,-0.016247906
2018-01-12T00:00:00Z,176.18,177.36,175.65,177.09,25039531,0,1,176.18,177.36,175.65,177.09,25039531,AAPL,0.005108122
2018-01-11T00:00:00Z,174.59,175.4886,174.49,175.28,17523256,0,1,174.59,175.4886,174.49,175.28,17523256,AAPL,-0.010220792
2018-01-10T00:00:00Z,173.16,174.3,173,174.29,23589129,0,1,173.16,174.3,173,174.29,23589129,AAPL,-0.005648106
2018-01-09T00:00:00Z,174.55,175.06,173.41,174.33,21262614,0,1,174.55,175.06,173.41,174.33,21262614,AAPL,0.000229503
2018-01-08T00:00:00Z,174.35,175.61,173.93,174.35,20134092,0,1,174.35,175.61,173.93,174.35,20134092,AAPL,0.000114725
2018-01-05T00:00:00Z,173.44,175.37,173.05,175,23016177,0,1,173.44,175.37,173.05,175,23016177,AAPL,0.003728133
2018-01-04T00:00:00Z,172.54,173.47,172.08,173.03,22211345,0,1,172.54,173.47,172.08,173.03,22211345,AAPL,-0.011257143
2018-01-03T00:00:00Z,172.53,174.55,171.96,172.23,28819653,0,1,172.53,174.55,171.96,172.23,28819653,AAPL,-0.004623476
2018-01-02T00:00:00Z,170.16,172.3,169.26,172.26,25048048,0,1,170.16,172.3,169.26,172.26,25048048,AAPL,0.000174186
